,name,mission_area,science_topic,date,lat_n,lon_w,lat_s,lon_e,visits
0,incubate killer e-business,Ecosystems,Hydrology,1972-07-05,27.09978,-82.45426,20.622896383600825,-78.45416444752874,306
1,evolve real-time e-business,Energy and Minerals,Forestry,2003-12-17,40.24537,-75.64963,21.85796218815947,-56.92745127898813,457
2,monetize magnetic partnerships,Land Resources,Climatology,1990-09-12,28.90054,-81.26367,15.720137488449193,-67.7385943245036,193
3,incubate enterprise e-business,Energy and Minerals,Mineral Resources,1996-05-17,38.06084,-97.92977,30.263517286315995,-81.5529917112527,418
4,seize innovative partnerships,Regional Offices,Planetary Sciences,2001-01-22,41.0051,-73.78458,26.385638564521017,-70.15521649916265,371
5,repurpose mission-critical web services,Energy and Minerals,Ecology,1993-01-08,37.73604,-120.93549,28.035045143005064,-101.10625558158128,266
6,strategize bleeding-edge vortals,Energy and Minerals,Ecology,1972-07-20,32.54044,-82.90375,30.453472243192596,-75.93470666392783,32
7,productize B2B niches,Water Resources,Energy Resources,1981-03-03,41.57721,-93.71133,39.251392171036365,-85.61341519235812,377
8,deliver magnetic synergies,Energy and Minerals,Wildlife Disease,2008-11-28,41.24255,-82.61573,40.33958101776954,-66.64206776187339,39
9,optimize revolutionary ROI,Ecosystems,Planetary Sciences,1980-02-21,29.65163,-82.32483,10.777052025591718,-77.36971099190902,46
10,visualize interactive initiatives,Regional Offices,Mineral Resources,1997-02-01,40.63316,-74.13653,40.021339554518356,-63.4224064542801,74
11,aggregate next-generation e-commerce,Land Resources,Geography,1979-12-22,33.95015,-118.03917,25.80053938541016,-107.51547049549707,433
12,extend strategic systems,Environmental Health,Wildlife Disease,1985-03-10,40.5576,-74.28459,33.1238881393231,-56.38159398243262,165
13,morph integrated functionalities,Ecosystems,Geochemistry,2010-11-23,28.90054,-81.26367,23.58389520880109,-66.80943545719425,462
14,grow rich relationships,Natural Hazards,Energy Resources,2002-09-16,29.84576,-90.10674,25.450340605579093,-83.98274666251099,183
15,re-contextualize customized applications,Core Sience Systems,Geophysics,1972-04-27,38.70734,-77.02303,23.214499381297106,-68.70063734197487,147
16,e-enable killer mindshare,Regional Offices,Energy Resources,1997-06-16,43.91452,-69.96533,31.86864261726572,-54.0042938985803,189
17,morph end-to-end supply-chains,Ecosystems,Ecology,1979-06-08,32.35126,-95.30106,27.099644354574416,-78.81696081555219,233
18,innovate real-time schemas,Core Sience Systems,Information Sciences,1998-05-10,33.50921,-111.89903,14.897775454936141,-100.33208048824578,72
19,disintermediate viral e-commerce,Natural Hazards,Planetary Sciences,1977-12-24,39.32288,-76.72803,29.97764309700127,-68.68602532296495,401
20,enhance revolutionary interfaces,Land Resources,Volcanology,1994-12-10,39.33427,-76.43941,30.80354972385051,-70.11181456681834,330
21,architect synergistic deliverables,Ecosystems,Volcanology,2009-05-17,38.96372,-76.99081,23.741466097239787,-62.60530526466964,37
22,harness dynamic systems,Regional Offices,Geochemistry,1989-08-20,41.80753,-87.65644,30.57052724263626,-87.58130954063148,114
23,iterate killer methodologies,Water Resources,Genetics,1992-12-18,40.2737,-76.88442,36.27592859565158,-68.78609273040888,352
24,reinvent extensible technologies,Energy and Minerals,Geography,2006-02-09,44.99012,-123.02621,39.611716111428386,-119.15221470135299,292
25,expedite B2C bandwidth,Core Sience Systems,Information Sciences,1977-11-17,45.53929,-122.38731,42.794405149177706,-108.22334393500817,394
26,integrate intuitive experiences,Core Sience Systems,Mineral Resources,1999-10-26,45.49428,-122.86705,41.66246672769431,-110.16014270250615,61
27,orchestrate user-centric web-readiness,Environmental Health,Genetics,1970-02-07,29.84576,-90.10674,16.21073245342177,-89.20786028961922,380
28,re-intermediate web-enabled deliverables,Land Resources,Remote Sensing,1970-11-30,33.52253,-117.70755,26.947119318853503,-112.06742360094518,173
29,harness turn-key e-markets,Natural Hazards,Geophysics,1977-02-28,40.72816,-74.07764,26.245612629411752,-68.15444196864479,4
30,embrace seamless supply-chains,Natural Hazards,Hydrology,2020-02-16,33.7207,-116.21677,26.154177197957218,-101.47273638666297,19
31,leverage mission-critical web services,Water Resources,Aquatic Biology,2006-02-19,40.65995,-111.99633,29.657332041619064,-93.63916775863585,224
32,transition interactive ROI,Regional Offices,Planetary Sciences,2013-03-25,42.16808,-88.42814,25.418201437724576,-73.79044814757977,339
33,re-intermediate cutting-edge deliverables,Core Sience Systems,Geomorphology,1998-04-03,39.71734,-74.96933,20.84614692613054,-56.52477074406241,7
34,unleash web-enabled content,Core Sience Systems,Planetary Sciences,1975-04-13,35.61452,-88.81395,27.838436563073312,-71.3604957283249,219
35,facilitate one-to-one users,Land Resources,Geophysics,2010-09-08,33.52253,-117.70755,30.806868107386414,-117.61390862689557,66
36,engage 24/7 relationships,Environmental Health,Ecology,2012-02-25,42.35843,-71.05977,41.00928870538587,-68.01419701925411,373
37,drive global methodologies,Regional Offices,Land Use Change,2000-04-09,29.65163,-82.32483,11.69254342194293,-80.73296499020553,352
38,envisioneer magnetic relationships,Natural Hazards,Volcanology,1972-09-17,44.27804,-88.27205,25.763240723256338,-83.5757279482043,71
39,implement ubiquitous bandwidth,Land Resources,Wildlife Disease,1993-10-10,40.63316,-74.13653,32.525074769130306,-72.16995487969477,353
40,strategize 24/365 users,Natural Hazards,Forestry,1986-10-06,33.44872,-86.78777,22.000503529625437,-78.58872539197088,297
41,productize value-added deliverables,Water Resources,Soil Sciences,2013-11-11,40.94065,-73.99681,31.47316741068491,-59.755428864812615,207
42,benchmark impactful partnerships,Regional Offices,Genetics,1977-01-03,38.58894,-89.99038,26.295179327134946,-75.58347255377822,6
43,target visionary deliverables,Land Resources,Wildlife Disease,2005-11-13,41.75338,-86.11084,26.718787477502726,-68.60635107169291,436
44,aggregate leading-edge infrastructures,Energy and Minerals,Seismology,1987-07-15,33.35283,-111.78903,22.130041545370762,-92.23347411252095,415
45,seize frictionless e-services,Core Sience Systems,Wildlife Biology,2008-04-03,45.53929,-122.38731,42.613098172131174,-102.85241389647295,257
46,target vertical users,Regional Offices,Climatology,1976-11-20,42.30865,-83.48216,34.489054348377806,-80.53545030043247,173
47,mesh transparent e-commerce,Natural Hazards,Geophysics,2019-03-19,33.7207,-116.21677,29.535912110849054,-98.44477322735139,283
48,e-enable frictionless info-mediaries,Regional Offices,Remote Sensing,2007-09-14,47.80527,-122.24064,40.96752177101482,-108.5996476553745,294
49,enable bleeding-edge e-services,Land Resources,Hydrology,1988-04-18,46.09273,-88.64235,45.341597207832834,-72.96704875510154,220
50,mesh bleeding-edge architectures,Core Sience Systems,Information Sciences,2013-11-18,41.24255,-82.61573,33.479997326133834,-79.89221468549934,274
51,morph best-of-breed action-items,Land Resources,Energy Resources,2019-08-05,29.65163,-82.32483,26.32014236600932,-76.93827901378546,390
52,e-enable enterprise paradigms,Energy and Minerals,Soil Sciences,2012-03-08,41.6764,-91.58045,29.884273563551304,-75.1614801118834,440
53,streamline intuitive architectures,Regional Offices,Wildlife Disease,1993-07-22,42.93369,-72.27814,40.149621075876766,-57.73063934446808,424
54,enable impactful bandwidth,Regional Offices,Remote Sensing,1995-06-11,26.2173,-80.22588,9.052922944246568,-62.0883121229561,352
55,iterate compelling networks,Land Resources,Volcanology,1972-06-15,38.91817,-78.19444,37.78097739005721,-66.57280544891424,149
56,target robust platforms,Water Resources,Aquatic Biology,2008-08-22,43.1009,-75.23266,30.214629336192296,-62.13802778683266,359
57,harness turn-key methodologies,Ecosystems,Wildlife Biology,2005-11-06,34.21639,-119.0376,19.62945190003817,-112.38017376245776,5
58,implement global channels,Core Sience Systems,Environmental Health,2003-12-23,34.06635,-84.67837,21.859093632408914,-65.82799832479023,11
59,streamline web-enabled niches,Energy and Minerals,Mineral Resources,1971-04-01,20.88953,-156.47432,12.493983937347174,-151.75968861050893,85
60,streamline user-centric supply-chains,Water Resources,Energy Resources,2015-12-26,34.25807,-88.70464,32.36207698599368,-79.66856256664786,19
61,generate end-to-end web-readiness,Regional Offices,Mineral Resources,2016-08-18,32.9156,-117.14392,30.38879632602717,-105.03698668217073,424
62,extend clicks-and-mortar models,Ecosystems,Forestry,1990-01-21,40.64621,-73.97069,39.20293833569344,-60.69005975503214,111
63,embrace transparent infrastructures,Land Resources,Volcanology,1998-07-04,25.67927,-80.31727,24.39514580894046,-76.15719162681725,316
64,monetize intuitive e-services,Natural Hazards,Aquatic Biology,2012-05-21,32.54044,-82.90375,20.207854181343365,-77.90839476398514,4
65,cultivate dynamic e-tailers,Environmental Health,Ecology,1970-12-16,39.08367,-84.50855,24.82070584840249,-84.01749079257661,230
66,architect cross-platform partnerships,Land Resources,Soil Sciences,2006-11-01,28.54944,-81.77285,16.41096791596139,-79.99392473223506,154
67,transform killer methodologies,Regional Offices,Ecology,1987-05-15,33.41012,-91.06177,28.950515759318392,-75.04421270607139,342
68,deliver mission-critical relationships,Environmental Health,Genetics,2014-04-06,33.03699,-117.29198,21.579446251533334,-103.97551489289042,13
69,iterate rich web-readiness,Land Resources,Wildlife Disease,1978-04-28,37.95143,-91.77127,36.059657571285804,-87.001541244774,23
70,transition proactive markets,Water Resources,Environmental Health,1981-05-16,38.96372,-76.99081,34.574327281564585,-73.14808904792228,179
71,synthesize scalable applications,Natural Hazards,Wildlife Disease,1978-02-10,38.58894,-89.99038,19.211943975114284,-76.14334929813351,349
72,cultivate best-of-breed e-business,Energy and Minerals,Soil Sciences,1990-01-04,39.45621,-77.96389,23.569048277487504,-58.53590434800201,150
73,deliver world-class niches,Water Resources,Geochemistry,1976-01-12,42.16808,-88.42814,30.62597324240068,-76.08033807773779,11
74,disintermediate efficient networks,Environmental Health,Geochemistry,2006-01-14,33.72255,-116.37697,15.187780088449625,-112.76381354051676,361
75,disintermediate frictionless e-services,Regional Offices,Botany,2005-05-29,31.84568,-102.36764,16.05363769457883,-97.85168332580777,172
76,orchestrate distributed ROI,Ecosystems,Genetics,1985-08-10,39.32288,-76.72803,25.151608427586204,-66.39343489878685,303
77,enhance turn-key experiences,Energy and Minerals,Genetics,1984-06-17,33.08014,-83.2321,31.92872509062175,-66.64400884589008,190
78,orchestrate collaborative systems,Ecosystems,Environmental Health,2005-10-29,26.18924,-98.15529,22.183409089020696,-93.87575766065638,105
79,transition collaborative portals,Water Resources,Hydrology,1986-07-13,33.45122,-86.99666,15.653025571496471,-83.63933829180928,11
80,harness extensible solutions,Regional Offices,Seismology,2013-06-25,42.55308,-87.93341,34.83057711088496,-83.46063697119021,137
81,syndicate world-class e-services,Energy and Minerals,Hydrology,1978-06-16,36.91023,-121.75689,19.95643381810171,-114.63419408212113,2
82,drive 24/365 methodologies,Regional Offices,Forestry,2013-03-29,33.50921,-111.89903,20.053082930632627,-94.68793483493572,9
83,extend synergistic communities,Land Resources,Remote Sensing,2010-07-30,41.55838,-81.56929,32.04898374243571,-76.65354738414393,325
84,maximize one-to-one methodologies,Ecosystems,Soil Sciences,1983-02-10,33.7207,-116.21677,24.777736108093368,-105.43818839413322,474
85,transition out-of-the-box mindshare,Energy and Minerals,Geochemistry,2009-09-12,39.33427,-76.43941,24.774789994949696,-68.24495247292629,384
86,expedite global paradigms,Land Resources,Mineral Resources,2004-12-25,31.12406,-97.90308,11.669146767969593,-94.34535668452786,116
87,incentivize out-of-the-box paradigms,Water Resources,Genetics,2012-06-19,29.65163,-82.32483,13.98203443399797,-81.03787907675816,34
88,redefine cross-platform web services,Ecosystems,Geophysics,2009-02-26,32.42067,-104.22884,13.110238916438604,-103.61432934061096,254
89,benchmark virtual paradigms,Land Resources,Geography,1982-09-20,39.32011,-76.51552,38.53337062668087,-62.21198596074842,284
90,enhance compelling e-markets,Water Resources,Geophysics,1972-09-02,33.52253,-117.70755,32.264208890187945,-113.68328869112266,165
91,engage cross-media platforms,Ecosystems,Volcanology,1988-11-14,34.06635,-84.67837,22.504532124003788,-66.01659112222909,281
92,brand revolutionary communities,Natural Hazards,Volcanology,1982-12-06,30.17746,-81.38758,13.647371935094267,-79.03933352920912,54
93,deploy wireless partnerships,Environmental Health,Wildlife Disease,1984-03-29,32.42067,-104.22884,20.05543947145658,-84.36180679449905,321
94,repurpose leading-edge schemas,Land Resources,Climatology,1974-07-18,33.45122,-86.99666,33.116225289467295,-76.21450013833729,169
95,leverage intuitive users,Regional Offices,Aquatic Biology,2003-05-14,47.76232,-122.2054,33.84669438747465,-110.37077650029983,165
96,transition efficient eyeballs,Core Sience Systems,Seismology,2002-01-23,28.90054,-81.26367,22.79755094662257,-64.4609067830295,404
97,architect vertical experiences,Land Resources,Environmental Health,1989-08-21,43.54072,-116.56346,25.746427989867737,-100.69871928705265,56
98,strategize bleeding-edge e-markets,Ecosystems,Geophysics,1986-05-07,47.80527,-122.24064,32.432408032428484,-118.54630837540472,82
99,morph visionary web services,Land Resources,Marine Geology,1977-09-27,37.52487,-77.55777,22.240191391394173,-68.80714943270948,421
100,deploy B2B e-services,Regional Offices,Geochemistry,1980-01-06,43.54072,-116.56346,42.83566000036754,-111.96611419547608,55
101,matrix bricks-and-clicks infrastructures,Core Sience Systems,Forestry,1978-10-11,39.71734,-74.96933,22.121947084454945,-59.5278843663232,305
102,revolutionize dynamic functionalities,Core Sience Systems,Hydrology,2009-08-21,40.64621,-73.97069,29.690326483068,-68.08182422753192,300
103,target plug-and-play e-markets,Core Sience Systems,Volcanology,2013-03-11,44.73941,-93.12577,26.084060339519286,-80.82319298306284,266
104,seize world-class e-commerce,Core Sience Systems,Land Use Change,2016-07-29,29.65163,-82.32483,22.757844734095478,-71.35824292680988,117
105,embrace user-centric models,Natural Hazards,Seismology,1972-03-05,43.54072,-116.56346,28.58012861206672,-108.80002460024413,331
106,extend next-generation eyeballs,Regional Offices,Volcanology,1981-12-25,41.50343,-74.01042,30.678243264624587,-72.97266013168152,40
107,reinvent turn-key synergies,Energy and Minerals,Geochemistry,1988-10-03,38.54491,-121.74052,20.17773739440709,-118.15471393835715,308
108,productize compelling e-commerce,Regional Offices,Information Sciences,1973-12-29,40.58654,-122.39168,29.63667697663169,-120.18652289270238,133
